USDAInspectionNumber,StoredCropID,PlantedCropID,StorageBinID,isEstimated,PercentOfHarvestedYield,PercentBruiseFree,PercentSixOz,PercentSoftRot,PercentTenOz,PercentUndersize,PercentUnusable,PercentUSDA1,SpecificGravity,PercentHollow,PercentInternalDiscolored,PercentMechanicalDamaged,PercentPinkEye,PercentPitScab
4756,5EBF8C34-AFD2-450C-99FA-DBA256C0D29A,2530A9B6-69F4-49E4-9A17-9853BF949A49,ED19D11D-62B6-48B4-9A0F-7C21A91B45D8,0,0.117717756,0.819,0.667,0.023,0.305,0.024,0.057,0.834,1.0774,0.004,0,0.002,0.012,0
4757,73EAAB84-A0AD-438A-AD2B-CEDDCA3844C7,85EC3A53-C0C1-4DBE-A670-8B85DDAEEC29,F45EF324-714D-4015-B88D-A46D537D515E,0,0.164093938,0.687,0.669,0.053,0.303,0.009,0.127,0.763,1.079,0.038,0,0.002,0.02,0
4758,A94B8694-8BBD-46BC-BECD-8DE5A571AAA8,BF5B7453-D974-4864-AB5D-B49128C2098B,ED19D11D-62B6-48B4-9A0F-7C21A91B45D8,0,0.394107213,0.824,0.506,0.009,0.115,0.036,0.027,0.892,1.0809,0.007,0,0,0.004,0
4759,20453975-A8A3-494F-A5B4-682F138F2E95,53915A71-A607-42D8-BEC0-5A4B458C772C,F06697E3-F6C1-41B9-BE11-F3ABF450DBF8,0,0.099429951,0.731,0.547,0.033,0.133,0.028,0.128,0.676,1.0847,0.079,0,0.002,0.006,0
4760,1ED8BC25-A8CA-471F-BB9C-6E99226406F4,53915A71-A607-42D8-BEC0-5A4B458C772C,60ED1926-7400-4A76-A86F-8C3B543C3AE8,0,0.01916427,0.649,0.4,0.016,0.059,0.04,0.17,0.716,1.0847,0.12,0,0,0.008,0
4761,5EBF8C34-AFD2-450C-99FA-DBA256C0D29A,2530A9B6-69F4-49E4-9A17-9853BF949A49,ED19D11D-62B6-48B4-9A0F-7C21A91B45D8,0,0.410735182,0.847,0.658,0.022,0.322,0.025,0.073,0.812,1.0778,0.027,0,0.003,0.008,0
4762,C568F399-5037-4FD9-850F-EC8F0C7212F0,60F6F3D5-5527-4F1B-9B73-6BAF487A2944,7F20DBB5-6DF0-43EF-A1EF-7F866C64E166,0,0.272318622,0.6,0.493,0.084,0.265,0.013,0.344,0.524,1.0849,0.24,0,0.003,0.003,0
4763,67216308-5B2C-4CF7-B578-EFB392F8A8CE,E93072ED-07B4-40CB-A22E-8689663CB0FB,4AA523AA-163E-460A-BA6B-20C2D25E057D,0,0.280773455,0.71,0.501,0.022,0.158,0.024,0.113,0.774,1.0926,0.061,0.003,0.001,0.002,0
4764,03A35B83-080C-4BBB-BC20-B6214AB443B0,936790CF-5F1A-4C67-992F-8FAFCA4B60ED,DC101218-7A6A-416E-A880-4837DE382B2F,0,0.462681719,0.818,0.746,0.053,0.467,0.008,0.124,0.748,1.0794,0.021,0,0.003,0.03,0
4765,1ED8BC25-A8CA-471F-BB9C-6E99226406F4,53915A71-A607-42D8-BEC0-5A4B458C772C,60ED1926-7400-4A76-A86F-8C3B543C3AE8,0,0.076023692,0.83,0.543,0.034,0.175,0.044,0.134,0.744,1.0856,0.081,0,0.003,0.007,0
